title,description,input_description,output_description,problem_class,problem_score
Problem 1: Shortest path Task,Write a program that uses shortest path and bitmask to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,100
Problem 2: Hash map Task,Write a program that uses hash map and queue to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,55
Problem 3: Bitmask Task,Write a program that uses bitmask and network flow to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,84
Problem 4: Tree Task,Write a program that uses tree and network flow to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,78
Problem 5: Hash map Task,Write a program that uses hash map and queue to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,66
Problem 6: Recursion Task,Write a program that uses recursion and queue to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,53
Problem 7: Shortest path Task,Write a program that uses shortest path and tree to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,98
Problem 8: Sorting Task,Write a program that uses sorting and greedy to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,56
Problem 9: Network flow Task,Write a program that uses network flow and segment tree to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,99
Problem 10: Two pointers Task,Write a program that uses two pointers and queue to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,40
Problem 11: Array Task,Write a program that uses array and loop to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,4
Problem 12: Print Task,Write a program that uses print and basic math to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,30
Problem 13: Average Task,Write a program that uses average and array to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,10
Problem 14: Queue Task,Write a program that uses queue and two pointers to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,44
Problem 15: Network flow Task,Write a program that uses network flow and tree to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,97
Problem 16: Average Task,Write a program that uses average and array to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,11
Problem 17: Tree Task,Write a program that uses tree and dynamic programming to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,99
Problem 18: Binary search Task,Write a program that uses binary search and greedy to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,57
Problem 19: Queue Task,Write a program that uses queue and stack to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,40
Problem 20: Basic math Task,Write a program that uses basic math and count to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,11
Problem 21: Average Task,Write a program that uses average and basic math to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,10
Problem 22: Bitmask Task,Write a program that uses bitmask and graph to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,91
Problem 23: Dynamic programming Task,Write a program that uses dynamic programming and shortest path to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,77
Problem 24: Shortest path Task,Write a program that uses shortest path and graph to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,93
Problem 25: Sum Task,Write a program that uses sum and convert to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,7
Problem 26: Print Task,Write a program that uses print and loop to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,30
Problem 27: Bitmask Task,Write a program that uses bitmask and network flow to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,99
Problem 28: Shortest path Task,Write a program that uses shortest path and dynamic programming to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,93
Problem 29: If statement Task,Write a program that uses if statement and array to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,12
Problem 30: Tree Task,Write a program that uses tree and bitmask to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,95
Problem 31: Sorting Task,Write a program that uses sorting and greedy to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,31
Problem 32: Tree Task,Write a program that uses tree and bitmask to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,91
Problem 33: Sum Task,Write a program that uses sum and average to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,27
Problem 34: Loop Task,Write a program that uses loop and sum to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,11
Problem 35: Segment tree Task,Write a program that uses segment tree and network flow to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,92
Problem 36: Graph Task,Write a program that uses graph and bitmask to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,99
Problem 37: Count Task,Write a program that uses count and array to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,12
Problem 38: Stack Task,Write a program that uses stack and queue to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,66
Problem 39: Bitmask Task,Write a program that uses bitmask and graph to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,83
Problem 40: Graph Task,Write a program that uses graph and bitmask to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,81
Problem 41: Greedy Task,Write a program that uses greedy and stack to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,50
Problem 42: Stack Task,Write a program that uses stack and recursion to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,61
Problem 43: Print Task,Write a program that uses print and basic math to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,10
Problem 44: Sorting Task,Write a program that uses sorting and hash map to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,39
Problem 45: Sum Task,Write a program that uses sum and convert to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,29
Problem 46: Two pointers Task,Write a program that uses two pointers and recursion to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,46
Problem 47: Dynamic programming Task,Write a program that uses dynamic programming and segment tree to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,98
Problem 48: Binary search Task,Write a program that uses binary search and recursion to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,68
Problem 49: Tree Task,Write a program that uses tree and bitmask to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,88
Problem 50: Dynamic programming Task,Write a program that uses dynamic programming and shortest path to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,81
Problem 51: Greedy Task,Write a program that uses greedy and binary search to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,45
Problem 52: Convert Task,Write a program that uses convert and loop to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,18
Problem 53: Greedy Task,Write a program that uses greedy and sorting to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,63
Problem 54: Tree Task,Write a program that uses tree and network flow to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,85
Problem 55: Hash map Task,Write a program that uses hash map and stack to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,54
Problem 56: Count Task,Write a program that uses count and sum to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,12
Problem 57: Queue Task,Write a program that uses queue and sorting to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,67
Problem 58: Two pointers Task,Write a program that uses two pointers and queue to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,37
Problem 59: Graph Task,Write a program that uses graph and shortest path to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,90
Problem 60: Bitmask Task,Write a program that uses bitmask and segment tree to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,94
Problem 61: Array Task,Write a program that uses array and sum to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,3
Problem 62: Convert Task,Write a program that uses convert and sum to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Easy,18
Problem 63: Recursion Task,Write a program that uses recursion and binary search to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Medium,61
Problem 64: Stack Task,Write a program that uses stack and two pointers to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,63
Problem 65: Bitmask Task,Write a program that uses bitmask and network flow to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Hard,84
Problem 66: Average Task,Write a program that uses average and print to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Easy,22
Problem 67: Recursion Task,Write a program that uses recursion and stack to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,34
Problem 68: Dynamic programming Task,Write a program that uses dynamic programming and graph to solve the problem. The constraints are small.,The first line contains an integer N.,Print the result.,Hard,80
Problem 69: Stack Task,Write a program that uses stack and hash map to solve the problem. The constraints are small. This is a standard optimization problem.,The first line contains an integer N.,Print the result.,Medium,41
